id,type,rooms,bathrooms,squaremeters,floor,furnished,image,description,  price  ,typenum,furnishednum,transport,equipped,renovated,shops,cellar,balcony,parking,shared,green,historic,university, prediction ,difference,percentage
124,studio,1,1,25,2,yes,html/img/houses/124.JPG,"Discover this studio ideally located near the Beaulieu university campus and the Gayeulles park. The apartment includes a main room, a fitted kitchen and a shower room with wc. You also benefit from a parking space within the condominium.", € 430 ,2,1,1,0,0,1,0,0,1,0,1,0,1,€ 393,36.65072694,9%
125,apartment,2,1,68,8,no,html/img/houses/125.JPG,"Town center, near Les Halles, Spacious Type 2 of 68 m2 on the 8th floor with lift comprising an entrance hall with cupboard, a fitted/equipped kitchen (hob and oven), a south-facing living room with a south-facing balcony, a bedroom, a bathroom and a toilet. Collective heating and cold water. Very nice open view. ", € 820 ,3,0,1,1,0,1,0,1,0,0,0,0,0,€ 834,14.35455165,2%
126,studio,1,1,20,2,yes,html/img/houses/126.JPG,"Located in a quiet area, near the University of Rennes 1 and close to public transport. we offer this studio consisting of a living room with cupboard, an equipped kitchenette and a bathroom. You also have access to the parking lot of the residence and to the laundry. ", € 405 ,2,1,1,1,0,1,0,0,1,0,0,0,1,€ 408,3.034345624,1%
127,apartment,2,1,36,1,no,html/img/houses/127.JPG,"Recent one-bedroom apartment of 36.5 mÃ‚Â², located on the 1st floor of a luxury building. Bright living room opening onto a small balcony, separate fitted kitchen, 1 bedroom and a shower room with WC. Private parking space in the basement.", € 675 ,3,0,0,0,1,0,0,1,1,0,0,0,0,€ 516,158.7206566,24%
128,studio,1,1,24,2,no,html/img/houses/128.JPG,"In the heart of the Alphonse GuÃƒÂ©rin district on Avenue Sergent Maginot, this studio is located less than 50m from the C6 and C4 bus lines connecting the city center, Villejean and Beaulieu. Facing south with a view of the courtyard, we offer this renovated and very functional apartment comprising an entrance hall, a main room with a balcony, a kitchenette, a shower room. You also benefit from a private garage.", € 490 ,2,0,1,0,1,1,0,1,1,0,0,0,0,€ 382,108.2686855,22%
129,apartment,2,1,44,12,no,html/img/houses/129.JPG,"Modern residence in the heart of the Baud Chardonnet eco-district and a stone's throw from the Place de la RÃƒÂ©publique, facing the Vilaine. T2 apartment of 44.84 mÃ‚Â² on a high floor with lift, very bright with a loggia of 13.10 mÃ‚Â². It consists of a living room with an equipped kitchen area (sink, oven, fridge, electric hob, extractor, high and low storage) opening onto the loggia, a bedroom, a bathroom (shower, washbasin and vanity unit) and separate WC.", € 605 ,3,0,1,1,0,1,0,0,0,0,0,0,0,€ 719,114.1212927,19%
130,apartment,4,1,84,2,no,html/img/houses/130.JPG," Entrance, living room, fitted kitchen, 3 bedrooms (including 1 with cupboards), bathroom, WC. Closed garage. Cellar. Gas heating.", € 875 ,3,0,0,0,0,0,1,0,1,0,0,0,0,"€ 1,133",257.5977964,29%
131,studio,1,1,16,1,yes,html/img/houses/131.JPG,"It is a charming furnished studio that is available for rent from April 11th! Perfect for a student, but also for an employee... the studio is perfectly equipped and allows you to settle in quickly! Ideally located at the foot of the universities of Beaulieu, it also benefits from proximity to shops and the town centre. ", € 470 ,2,1,1,0,0,1,0,0,0,0,0,0,0,€ 470,0.043122228,0%
132,apartment,5,1,82,8,no,html/img/houses/132.JPG,"Bright, crossing type 5 apartment comprising: an entrance hall, a double living room facing west, a fitted and equipped kitchen, 3 bedrooms, 2 of which have fitted wardrobes, a shower room, WC, cellar. Quiet and green environment, easy parking.", € 880 ,3,0,0,1,0,0,1,0,1,0,1,0,0,"€ 1,192",312.0578839,35%
133,studio,5,1,17,5,no,html/img/houses/133.JPG,"In a recent residence located a stone's throw from the station, discover this apartment on the 5th floor, not overlooked, offering an entrance hall, a living room with kitchenette and a shower room with wc. access to a shared laundry and bike storage. ", € 470 ,2,0,1,0,1,1,0,0,0,0,0,0,0,€ 814,344.3359749,73%
134,apartment,2,1,28,4,yes,html/img/houses/134.JPG,"In the Le Grand CollÃƒÂ¨ge residence located in the heart of Rennes, close to transport and shops, come and discover this furnished duplex apartment consisting of a living room, a kitchenette area, a bedroom with trundle bed on the mezzanine and a bathroom with wc. ", € 550 ,3,1,1,0,0,1,0,0,0,0,0,0,0,€ 627,77.39636939,14%
135,apartment,3,1,75,10,no,html/img/houses/135.JPG,"Near downtown Rennes, come and discover this superb T3 overlooking the Vilaine including a large living room on a south-facing balcony, a fitted and equipped kitchen, two bedrooms with fitted wardrobes, a bathroom with bath and shower, a cellar, a covered outdoor parking space."," € 1,085 ",3,0,0,1,0,0,1,0,1,0,0,0,0,€ 994,91.19334251,8%
136,apartment,3,1,60,3,no,html/img/houses/136.JPG,"On the top floor, 3-room apartment of 60 mÃ‚Â² including, living room on SOUTH balcony, fitted and equipped kitchen (hood + hob + oven), 2 bedrooms, bathroom, WC, loggia and plenty of storage . You also have a cellar and a private parking space. ", € 690 ,3,0,0,1,0,0,1,1,1,0,0,0,0,€ 772,82.38869887,12%
137,apartment,2,1,37,0,yes,html/img/houses/137.JPG," In the sought-after district of Saint-HÃƒÂ©lier and 600 meters from the line A metro station and within a year the second line (B). Small collective from the 1950s, clean and in good condition. Come and discover this type 2 furnished apartment on the raised ground floor with an area of Ã¢â‚¬â€¹Ã¢â‚¬â€¹approximately 37.5 mÃ‚Â². It includes an entrance and its hallway, a living room with a fitted and equipped kitchen area, a separate bedroom, a bathroom.  ", € 659 ,3,1,1,1,0,1,0,0,0,0,0,0,0,€ 692,33.17007714,5%
138,apartment,3,1,60,3,yes,html/img/houses/138.JPG," In a recent residence, discover this apartment comprising an entrance hall with cupboard, a living room with a fitted kitchen and a long balcony, two bedrooms, one of which has a cupboard, a bathrooms and separate toilets. You also benefit from a cellar and two parking spaces.", € 727 ,3,1,0,0,1,0,1,1,1,0,0,0,0,€ 845,118.04239,16%
139,studio,1,1,18,3,yes,html/img/houses/139.JPG,"On the Place Saint-Michel. in a very beautiful building completely renovated. Pleasant furnished duplex studio in a quiet courtyard side, comprising an entrance hall, main room with kitchen area, shower room, bedroom upstairs.", € 490 ,2,1,1,0,1,1,0,0,0,0,0,0,0,€ 495,4.637002531,1%
140,studio,1,1,29,5,no,html/img/houses/140.JPG,"In a secure residence with caretaker, on the top floor, bright renovated apartment with balcony, parking space comprising entrance hall, living room, fitted kitchen, dressing room, bathroom. cellar heating, collective waters.", € 550 ,2,0,0,0,1,0,1,1,1,0,0,0,0,€ 372,178.4578769,32%
141,apartment,2,1,40,6,no,html/img/houses/141.JPG,"Close to shops and amenities, apartment on the top floor facing south with open view and comprising an entrance, a living room, a kitchen, a shower room. cellar on the landing, parking heating, collective hot & cold water. ", € 565 ,3,0,0,0,0,1,1,0,1,0,0,0,0,€ 456,109.4323265,19%
142,apartment,3,1,70,1,yes,html/img/houses/142.JPG,"In the historic center, in a building overlooking a quiet courtyard, large 3-room apartment comprising a main room, 2 bedrooms, a hallway, a kitchen, a bathroom. ", € 735 ,3,1,1,0,0,1,0,0,0,0,0,1,0,€ 910,174.967826,24%
143,studio,1,1,20,1,no,html/img/houses/143.JPG,"In the area of Ã¢â‚¬â€¹Ã¢â‚¬â€¹beaulieu, in a student and secure residence, located next to the faculties, a studio comprising a main room with an equipped kitchen, a bathroom. ", € 440 ,2,0,0,1,0,0,0,0,0,0,0,0,1,€ 331,108.5355917,25%
144,studio,1,1,12,3,no,html/img/houses/144.JPG,"Close to the city center, quick access to the ring roads. Quiet studio under the roof. Located in a small building, apartment comprising a main room with kitchenette, bathroom and parking space.", € 329 ,2,0,1,0,1,0,0,0,1,0,0,0,0,€ 482,152.6869964,46%
145,apartment,4,2,73,3,no,html/img/houses/145.JPG,"in a green, booming area, beautiful spacious one-bedroom apartment with large living room opening onto a large south-facing terrace. heating and water included in the charges. fitted kitchen, 2 bedrooms, bathroom, wc, cellar, garage.", € 895 ,3,0,0,0,0,0,1,1,1,0,1,0,0,€ 882,12.7226853,1%
146,apartment,4,1,92,14,no,html/img/houses/146.JPG,"With a panoramic view of the historic center, discover this bright apartment comprising an entrance hall with cupboard, a living room with balcony, a fitted and equipped kitchen with loggia, two bedrooms, a dressing room, a bathroom and separate wc. Heating, hot water and cold water are included in the provisions on charges. You also benefit from a cellar and a secure basement garage."," € 1,300 ",3,0,0,1,0,0,1,1,1,0,0,1,0,"€ 1,025",274.8126656,21%
147,studio,1,1,19,0,no,html/img/houses/147.JPG,"In the immediate vicinity of the Place des Lices, discover this studio consisting of an entrance with cupboard, a main room with kitchenette and a shower room with wc. Cold water is included in the provisions for charges.", € 420 ,2,0,1,0,0,1,0,0,0,0,0,0,0,€ 414,6.21617761,1%
148,apartment,2,1,44,0,yes,html/img/houses/148.JPG,"Decorated with taste, you will be seduced by its SOUTH-facing terrace without vis-ÃƒÂ -vis, its living room with high ceilings, its fitted and equipped open kitchen, its bedroom with large dressing room, its bathroom and its separate toilet. The apartment is provided with a washing machine, garden furniture and a parking space in the basement. ", € 690 ,3,1,0,1,0,0,0,0,1,0,1,0,0,€ 679,10.5576945,2%
149,studio,1,1,17,3,no,html/img/houses/149.JPG,"In a secure residence at the foot of the University of Beaulieu and the Chateaubriand high school, pleasant 18 mÃ‚Â² studio located on the 3rd and last floor, renovated, consisting of a main room with kitchenette area and shower room/WC. Heating, water and electricity in the charges. Quiet, green spaces. ", € 430 ,2,0,0,0,1,0,0,0,0,0,1,0,1,€ 258,171.916156,40%
150,apartment,4,1,75,3,yes,html/img/houses/150.JPG,"South-facing furnished apartment with 4 bedrooms; two of which with balcony. In common, a fitted kitchen, a bathroom with double sink and washing machine outlet, a separate toilet. A walk-in closet. A cave. Easy to park at the bottom of the building. "," € 1,510 ",3,1,0,0,0,0,1,1,1,0,0,0,0,"€ 1,069",440.8076543,29%
151,studio,1,0,10,3,yes,html/img/houses/151.JPG,"A double bed, a closet and a desk. FREE Places shared with the room: Entrance, fitted and equipped kitchen, living room, bathroom, separate toilet and balcony.", € 405 ,2,1,0,1,0,0,0,1,0,1,0,0,0,€ 333,71.84964226,18%
